Login,PW 2,PW 3,PW 4,PW 5,PW 6,PW 7,Average,Midterm,Final
,,,,,,,,,
,15.33,19.25,18.00,20.00,16.61,6.00,15.87,7.19,8.04
,8.26,16.00,12.93,13.25,13.23,8.00,11.95,19.44,19.62
,,,,,,,,,
,19.13,19.50,19.00,15.25,19.35,12.33,17.43,17.06,15.60
,18.70,19.00,19.00,20.00,19.03,20.00,19.29,18.24,19.55
,0.00,6.00,7.33,2.90,8.39,0.00,4.10,0.00,0.00
,19.57,7.00,18.83,19.00,15.00,19.00,16.40,19.00,19.10
,,,,,,,,,
,17.83,20.00,18.80,12.55,12.42,12.07,15.61,19.94,18.71
,17.39,20.00,20.00,15.00,7.23,10.00,14.94,12.06,6.71
,12.86,15.50,20.00,16.00,17.50,12.60,15.74,17.55,18.65
,18.70,20.00,19.67,14.60,16.41,14.13,17.25,16.13,12.43
,18.41,9.25,5.50,7.00,7.06,0.00,7.87,11.09,
,14.49,13.30,7.67,6.00,7.90,0.00,8.23,12.13,9.03
,20.00,20.00,13.60,19.80,16.28,10.27,16.66,13.95,8.78
,17.39,11.60,16.40,7.80,3.06,4.87,10.19,8.65,8.63
,17.39,20.00,16.50,20.00,11.86,19.33,17.51,19.75,12.83
,,,,,,,,,
,18.26,12.75,9.33,0.00,7.74,1.33,8.24,14.00,12.73
,,,,,,,,,
,20.00,20.00,19.00,19.50,10.65,18.67,17.97,20.00,18.88
,18.70,16.00,17.57,17.00,20.00,14.67,17.32,20.00,19.65
,0.00,10.35,20.00,6.00,5.16,9.07,8.43,16.48,19.73
,13.48,16.00,15.33,8.00,10.97,0.00,10.63,16.09,10.07
,17.04,16.25,18.17,20.00,16.61,0.00,14.68,12.75,9.78
,17.17,20.00,20.00,18.00,17.24,8.67,16.85,19.00,14.21
,17.83,19.50,16.50,6.25,14.03,1.33,12.57,6.69,6.60
,1.74,4.00,15.33,20.00,17.74,18.00,12.80,9.34,12.98
,13.48,3.00,13.67,8.00,8.97,7.33,9.08,12.05,13.50
,17.13,19.50,13.07,6.00,4.84,0.00,10.09,18.72,8.66
,14.35,20.00,16.00,8.00,6.77,10.00,12.52,19.92,9.71
,12.04,16.00,6.00,0.00,10.42,4.00,8.08,17.78,16.25
,17.86,19.00,9.33,5.00,13.39,0.00,10.76,15.45,11.00
,13.00,18.30,11.67,9.75,8.53,8.83,11.68,16.97,12.88
,14.13,13.50,5.33,16.00,7.52,0.00,9.41,7.37,1.42
,15.00,20.00,20.00,15.00,16.39,13.47,16.64,14.19,10.10
,17.39,18.00,19.33,8.00,12.58,8.33,13.94,12.83,5.30
,15.43,16.00,19.33,11.50,14.84,14.00,15.18,20.00,18.59
,16.52,19.00,20.00,20.00,14.84,17.67,18.00,18.99,16.98
,19.57,20.00,18.33,20.00,0.00,13.67,15.26,6.00,6.65
,18.26,20.00,20.00,20.00,18.23,17.00,18.92,19.58,11.78
,16.96,14.75,8.00,14.00,5.13,16.00,12.47,11.22,7.75
,18.91,18.00,12.93,13.75,11.45,12.00,14.51,14.69,5.82
,15.65,11.25,19.33,20.00,8.63,18.67,15.59,18.32,14.09
,19.13,19.00,10.00,5.00,14.35,1.33,11.47,15.75,9.27
,16.96,20.00,20.00,20.00,17.42,18.67,18.84,20.00,19.98
,0.00,10.00,11.67,20.00,10.97,8.67,10.22,9.20,8.41
,,,,,,,,,
,18.26,20.00,0.00,0.00,0.00,0.00,6.38,6.15,
,16.96,19.00,13.33,8.00,6.13,7.00,11.74,10.28,10.53
,19.57,16.50,19.47,19.05,18.39,20.00,18.83,12.87,14.98
,17.57,18.00,20.00,18.00,14.19,2.00,14.96,18.42,20.00
,16.23,16.00,7.07,8.00,8.55,0.00,9.31,10.30,8.13
,19.28,20.00,17.73,20.00,10.65,15.33,17.17,19.30,7.14
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,5.52,19.00,13.50,6.00,3.47,0.00,7.92,17.94,13.81
,,,,,,,,,
,20.00,20.00,19.00,20.00,19.42,13.60,18.67,18.50,20.00
,8.70,20.00,18.67,16.75,7.58,8.00,13.28,14.75,13.07
,18.91,17.25,17.67,13.00,6.77,14.67,14.71,7.49,3.88
,17.83,19.50,19.50,18.50,18.06,6.00,16.57,16.75,8.00
,9.57,14.00,18.07,11.50,6.94,7.33,11.24,7.00,7.72
,0.00,13.00,13.00,20.00,12.42,4.33,10.46,8.23,9.00
,,,,,,,,,
,15.22,17.50,15.33,8.25,10.26,10.67,12.87,19.93,18.85
,18.70,16.00,11.83,7.50,9.34,0.00,10.56,15.00,11.10
,19.78,16.00,20.00,7.00,17.10,12.67,15.42,13.50,12.64
,17.11,19.00,11.33,13.50,9.68,7.67,13.05,5.25,3.94
,17.39,16.00,20.00,15.00,17.42,20.00,17.64,19.53,19.65
,6.96,14.25,5.00,15.00,6.77,2.73,8.45,16.56,11.57
,14.09,7.00,18.33,16.00,17.42,0.00,12.14,8.13,10.23
,18.70,18.00,19.00,20.00,15.48,19.47,18.44,9.16,16.55
,19.13,16.00,19.67,19.25,13.55,17.33,17.49,17.73,9.41
,15.87,16.25,18.00,8.00,6.45,0.00,10.76,10.28,10.00
,13.04,8.50,6.67,4.75,0.00,0.00,5.49,11.05,7.04
,17.17,16.50,17.50,8.50,13.71,8.33,13.62,9.13,4.16
,17.17,20.00,15.33,20.00,20.00,19.00,18.58,17.59,10.80
,20.00,16.25,12.00,12.00,11.61,0.00,11.98,15.06,11.09
,19.74,18.00,20.00,19.75,15.81,6.00,16.55,13.13,7.15
,16.24,19.50,19.50,8.00,12.90,10.33,14.41,12.00,9.12
,14.09,0.00,18.83,17.00,7.71,4.33,10.33,10.84,10.20
,12.83,15.00,13.33,8.00,14.03,7.00,11.70,11.84,8.72
,11.09,15.00,15.33,9.50,10.16,0.00,10.18,12.01,6.38
,4.96,17.25,11.67,16.25,14.50,6.37,11.83,10.93,11.32
,,,,,,,,,
,14.78,13.00,16.33,16.00,8.39,0.00,11.42,10.00,2.05
,10.43,10.25,10.33,6.00,6.06,10.67,8.96,5.00,3.00
,15.30,14.60,17.00,18.00,13.39,14.20,15.42,8.65,15.16
,18.68,20.00,20.00,12.75,16.45,16.33,17.37,17.84,17.89
,18.93,19.50,16.53,20.00,19.61,19.33,18.98,17.94,19.91
,17.39,19.50,19.00,18.50,13.35,11.83,16.60,16.27,9.21
,16.12,14.50,14.33,5.00,0.00,0.00,8.33,,11.16
,,,,,,,,,
,17.65,4.00,18.13,20.00,5.48,1.00,11.04,10.53,8.74
,18.00,16.25,18.00,20.00,20.00,20.00,18.71,19.43,19.02
,16.09,19.50,17.67,20.00,13.87,13.67,16.80,18.79,10.83
,18.70,18.00,20.00,17.50,16.61,7.17,16.33,11.00,10.31
,17.30,19.25,20.00,15.00,20.00,19.47,18.50,16.67,14.44
,17.39,18.25,16.83,8.00,5.74,20.00,14.37,18.21,16.65
,19.57,19.00,15.00,9.25,15.32,5.33,13.91,8.28,3.06
,20.00,20.00,18.87,20.00,16.68,13.07,18.10,12.43,11.00
,18.26,17.00,5.83,20.00,10.26,20.00,15.23,11.67,13.21
,12.61,0.00,0.00,9.00,0.00,14.67,6.05,9.13,0.65
,18.93,19.00,19.87,14.00,16.35,9.20,16.23,16.55,15.00
,18.57,19.05,19.33,20.00,6.61,0.00,13.93,18.94,5.78
,18.30,17.00,20.00,9.50,12.56,7.00,14.06,10.00,7.00
,17.70,18.25,16.00,6.00,4.81,6.67,11.57,7.17,10.13
,18.13,19.00,16.67,16.00,10.29,0.00,13.35,17.00,6.00
,13.35,19.50,15.17,20.00,20.00,15.33,17.23,20.00,20.00
,17.83,20.00,20.00,12.00,15.16,15.00,16.67,14.00,10.21
,18.63,20.00,19.17,20.00,20.00,13.33,18.52,19.52,19.00
,17.39,19.00,20.00,20.00,10.65,10.33,16.23,18.75,17.98
,12.91,3.50,0.00,1.00,0.00,0.00,2.90,10.09,9.63
,15.39,15.75,12.67,14.00,18.35,10.00,14.36,18.65,16.93
,18.61,13.00,19.20,6.00,17.26,17.00,15.18,11.03,10.63
,19.13,19.75,20.00,12.50,6.13,14.33,15.31,19.06,19.00
,18.26,20.00,18.00,8.00,16.27,9.67,15.03,14.06,10.25
,12.78,18.00,14.83,17.50,16.90,16.33,16.06,17.00,8.33
,17.35,10.25,12.67,13.00,14.52,16.00,13.97,10.97,10.01
,20.00,20.00,17.73,20.00,18.42,13.07,18.20,19.98,15.19
,19.13,20.00,20.00,20.00,18.71,20.00,19.64,18.12,20.00
,20.00,20.00,20.00,20.00,19.84,17.33,19.53,20.00,16.77
,13.65,10.50,12.17,4.00,0.00,0.00,6.72,6.09,
,18.26,20.00,18.00,18.00,12.42,2.00,14.78,17.50,14.84
,14.78,16.50,17.50,8.00,17.56,12.00,14.39,20.00,14.33
,19.00,20.00,18.33,20.00,8.39,0.00,14.29,18.17,15.64
,1.61,20.00,9.50,8.00,9.03,0.00,8.02,8.00,2.06
,15.52,17.25,15.33,20.00,16.77,16.33,16.87,10.84,10.29
,19.13,20.00,12.33,0.00,0.00,0.00,8.58,17.79,
,18.26,18.50,20.00,19.80,19.84,9.90,17.72,14.68,12.66
,,,,,,,,,
,17.91,20.00,18.60,19.10,5.48,15.00,16.02,11.31,8.63
,17.17,18.00,16.33,20.00,10.32,0.00,13.64,19.56,17.30
,20.00,18.25,19.67,20.00,17.58,10.33,17.64,18.30,13.84
,19.13,18.50,20.00,20.00,20.00,18.00,19.27,14.97,13.91
,0.00,0.00,12.00,10.00,0.00,0.00,3.67,7.21,5.98
,16.09,18.25,18.17,19.00,15.81,15.67,17.16,15.81,14.28
,15.87,17.50,16.50,8.00,9.32,3.00,11.70,13.00,5.98
,17.26,15.25,9.73,13.00,1.29,6.00,10.42,10.59,6.90
,20.00,13.50,10.40,20.00,17.94,9.67,15.25,18.36,14.98
,17.39,20.00,19.33,19.00,18.71,15.33,18.29,17.81,19.89
,16.96,15.25,11.50,10.50,0.00,15.33,11.59,15.00,10.53
,19.54,18.35,19.67,20.00,0.00,4.83,13.73,15.00,8.93
,19.57,20.00,20.00,20.00,19.35,13.07,18.66,16.51,4.89
,19.13,19.00,6.33,17.25,6.45,6.20,12.39,10.22,11.00
,15.09,18.00,15.00,10.00,16.61,0.00,12.45,13.49,9.75
,10.34,13.00,12.33,20.00,7.74,2.67,11.01,11.62,12.43
,,,,,,,,,
,2.61,18.60,18.33,8.50,10.32,0.00,9.73,19.94,19.47
,19.07,18.50,13.00,9.00,17.42,10.00,14.50,16.49,14.17
,12.54,12.25,2.67,8.00,7.68,0.00,7.19,12.00,6.58
,18.26,14.25,19.00,15.00,0.00,20.00,14.42,16.05,12.93
,15.45,18.00,5.33,20.00,15.03,0.00,12.30,3.51,1.17
,19.74,19.00,18.50,19.25,16.45,14.27,17.87,11.40,8.65
,17.39,18.50,19.00,8.00,12.26,15.50,15.11,11.06,8.96
,16.96,10.50,12.33,11.00,0.00,13.00,10.63,11.09,4.18
,,,,,,,,,
,19.13,0.00,11.33,6.00,4.52,8.67,8.27,12.22,6.14
,18.70,4.75,18.33,9.00,14.77,8.00,12.26,17.00,9.00
,18.70,17.00,19.47,19.00,19.87,20.00,19.01,18.97,18.49
,15.65,0.00,17.67,6.00,13.55,6.00,9.81,5.56,8.01
,19.57,17.25,20.00,20.00,13.55,0.00,15.06,15.02,10.47
,17.76,20.00,19.33,19.00,19.35,12.00,17.91,13.90,9.84
,19.35,18.25,12.50,0.00,1.06,0.00,8.53,17.00,16.33
,8.04,20.00,13.00,17.00,8.55,12.07,13.11,11.00,4.82
,16.74,19.25,16.33,18.00,12.74,4.00,14.51,11.52,8.93
,13.91,14.75,5.67,8.00,7.74,11.67,10.29,8.09,5.07
,,,,,,,,,
,9.48,6.50,0.00,13.25,6.55,4.40,6.70,1.97,4.06
,18.87,18.00,19.00,5.25,15.81,19.33,16.04,14.41,17.65
,16.52,17.00,16.00,19.00,16.13,13.33,16.33,16.74,20.00
,19.57,13.00,13.17,19.00,13.87,10.00,14.77,13.13,7.07
,18.70,19.60,19.67,20.00,19.74,16.53,19.04,9.92,8.35
,12.78,15.00,19.00,8.00,2.58,0.00,9.56,13.06,7.08
,17.83,11.00,18.40,14.40,11.61,10.00,13.87,19.94,20.00
,16.04,16.50,11.47,5.60,10.32,13.67,12.27,9.09,13.17
,15.22,18.25,13.17,13.50,0.00,18.67,13.13,16.97,13.14
,14.72,19.00,16.17,15.50,1.87,9.33,12.77,15.37,10.00
,,,,,,,,,
,16.26,11.00,5.50,7.50,7.84,1.33,8.24,12.00,6.17
,18.63,20.00,18.00,20.00,14.19,7.67,16.41,19.00,16.43
,17.64,17.25,19.60,19.80,12.86,13.07,16.70,18.56,16.27
,19.57,19.50,19.33,17.00,14.48,18.67,18.09,18.03,5.98
,17.83,16.50,17.67,18.00,12.58,17.33,16.65,8.09,7.12
,10.22,11.75,13.33,7.75,0.00,12.67,9.29,10.75,8.99
,20.00,20.00,19.00,8.00,20.00,17.33,17.39,19.00,19.00
,18.26,13.50,15.33,18.00,0.00,9.33,12.40,11.09,9.00
,19.35,20.00,17.67,19.60,16.90,20.00,18.92,20.00,18.59
,,,,,,,,,
,20.00,19.00,18.33,20.00,13.48,17.67,18.08,15.51,12.85
,18.85,20.00,20.00,20.00,19.35,11.33,18.26,19.98,17.60
,,,,,,,,,
,10.80,18.50,19.50,17.25,10.61,10.00,14.44,11.06,9.87
,18.26,11.00,17.67,8.00,6.45,6.00,11.23,5.09,2.05
,0.00,0.00,10.20,3.50,13.44,0.00,4.52,6.89,
,18.48,17.00,0.00,0.00,0.00,0.00,5.91,,
,11.48,18.00,18.83,19.50,18.06,14.67,16.76,19.45,15.65
,19.00,19.00,18.00,20.00,17.42,0.00,15.57,14.65,
,0.00,6.75,6.00,9.30,16.77,10.33,8.19,11.09,5.22
,20.00,15.00,20.00,9.00,18.71,0.00,13.79,20.00,14.98
,20.00,20.00,17.17,9.25,13.16,0.00,13.26,12.13,9.10
,17.83,9.00,7.67,0.00,0.00,0.00,5.75,13.06,7.38
,19.57,14.00,15.83,5.00,2.35,10.33,11.18,7.09,6.68
,16.39,20.00,17.83,20.00,10.32,20.00,17.42,14.00,7.23
,7.98,7.00,1.67,0.00,0.00,0.00,2.78,11.13,9.35
,16.96,20.00,18.50,20.00,16.13,14.67,17.71,15.65,12.47
,18.26,15.00,15.50,15.75,15.48,0.00,13.33,18.00,10.98
,20.00,19.50,20.00,20.00,17.42,17.33,19.04,,15.30
,19.78,13.50,9.17,1.00,17.42,10.67,11.92,15.82,13.52
,13.91,18.50,19.00,17.00,14.77,0.00,13.86,13.18,11.51
,6.70,10.60,0.00,4.50,7.74,0.00,4.92,9.25,3.25
,13.65,13.00,8.50,8.00,10.97,16.33,11.74,15.38,10.63
,20.00,20.00,19.33,20.00,16.77,11.67,17.96,15.09,12.14
,19.78,17.00,10.50,9.00,9.94,0.00,11.04,18.09,14.12
,17.13,18.00,19.17,19.75,13.42,9.67,16.19,16.45,10.18
,17.57,19.00,18.50,13.50,19.03,19.33,17.82,19.91,13.63
,20.00,6.00,9.33,11.50,10.97,13.33,11.86,13.00,8.77
,13.48,19.00,20.00,18.50,13.81,0.00,14.13,10.75,4.13
,12.61,9.75,7.17,14.25,0.00,8.00,8.63,7.34,4.30
,20.00,20.00,20.00,20.00,19.28,10.33,18.27,20.00,18.98
,12.13,15.25,9.00,18.00,4.77,12.67,11.97,9.78,10.35
,18.70,20.00,19.67,20.00,0.00,14.67,15.51,17.50,9.08
,19.35,20.00,20.00,20.00,14.84,14.33,18.09,14.64,10.74
,8.91,8.25,9.33,10.00,0.00,0.00,6.08,9.00,6.96
,20.00,20.00,19.33,20.00,17.61,18.47,19.23,18.79,19.65
,20.00,18.00,14.13,18.00,15.88,0.00,14.34,13.91,7.00
,,,,,,,,,
,17.78,17.25,19.60,20.00,16.65,17.33,18.10,18.03,15.28
,,,,,,,,,
,18.26,18.50,18.83,20.00,10.32,0.00,14.32,15.72,5.72
,16.26,18.50,18.77,11.75,14.19,5.33,14.13,14.51,7.06
,20.00,18.00,4.00,12.00,12.26,6.00,12.04,7.18,14.08
,17.17,20.00,19.27,20.00,18.19,20.00,19.11,18.64,18.07
,15.65,14.00,11.67,7.00,16.13,6.00,11.74,10.48,9.10
,18.70,18.25,19.00,10.00,18.71,20.00,17.44,18.30,15.65
,20.00,19.25,19.00,13.00,16.77,4.67,15.45,19.06,15.66
,17.13,18.25,20.00,20.00,20.00,20.00,19.23,18.76,19.94
,18.17,18.00,17.33,20.00,20.00,18.93,18.74,18.50,19.58
,18.48,20.00,17.17,18.00,20.00,16.33,18.33,18.05,19.65
,18.74,20.00,17.93,20.00,19.03,16.40,18.68,11.21,14.75
,18.70,20.00,11.00,18.00,14.61,2.00,14.05,14.79,12.52
,18.63,18.25,18.00,13.00,10.26,0.00,13.02,13.75,8.28
,20.00,13.50,19.17,18.00,16.77,18.00,17.57,20.00,18.01
,14.57,19.50,16.33,19.80,11.89,10.53,15.44,19.97,13.00
,14.09,15.25,17.17,9.50,2.52,15.33,12.31,5.21,6.00
,19.11,20.00,19.33,18.00,19.03,0.00,15.91,20.00,18.08
,19.35,18.25,8.50,7.00,3.81,0.00,9.49,9.09,8.25
,0.00,10.50,17.33,9.00,15.74,0.00,8.76,10.00,9.12
,20.00,18.00,20.00,20.00,20.00,20.00,19.67,17.09,18.00
,16.26,20.00,11.33,7.75,7.84,0.00,10.53,8.33,6.63
,18.26,20.00,19.00,20.00,17.42,20.00,19.11,20.00,19.25
,18.26,0.00,11.33,8.00,8.39,20.00,11.00,13.75,17.75
,11.52,9.00,20.00,6.00,8.53,10.33,10.90,17.64,17.10
,19.07,20.00,20.00,20.00,18.71,19.00,19.46,19.75,13.44
,16.30,20.00,19.73,19.25,16.45,14.67,17.73,19.26,16.02
,18.00,18.50,10.83,11.25,15.16,7.67,13.57,12.80,11.79
,20.00,20.00,18.50,20.00,17.74,0.00,16.04,19.90,18.50
,1.74,17.00,12.17,8.00,6.45,13.00,9.73,12.84,4.48
,15.22,20.00,14.40,13.55,9.09,10.67,13.82,11.13,13.14
,14.35,13.00,20.00,13.50,14.13,13.67,14.77,13.12,13.22
,16.83,10.50,20.00,18.00,19.68,4.67,14.95,15.00,9.88
,19.74,16.00,18.53,16.70,7.10,0.00,13.01,10.19,12.05
,17.13,18.25,7.33,5.75,5.48,0.33,9.05,17.56,16.55
,18.70,18.25,20.00,20.00,20.00,20.00,19.49,16.97,13.58
,17.54,19.25,19.00,18.00,15.42,16.33,17.59,17.72,11.65
,10.83,20.00,17.67,12.25,11.45,16.67,14.81,12.61,11.83
,7.61,15.50,13.33,13.00,9.94,0.00,9.90,8.32,4.16
,0.00,0.00,20.00,12.75,14.52,0.00,7.88,11.34,7.80
,20.00,20.00,16.83,20.00,14.19,15.67,17.78,20.00,19.95
,19.74,20.00,15.53,20.00,17.10,6.00,16.40,17.00,17.25
,18.26,18.25,0.00,19.00,1.87,0.00,9.56,7.31,4.98
,18.00,19.00,19.17,11.75,19.03,3.00,14.99,18.94,13.98
,17.57,13.50,10.83,7.75,8.21,0.00,9.64,6.19,8.88
,17.17,0.00,11.33,15.50,13.71,7.33,10.84,9.76,5.79
,18.26,15.00,16.17,5.00,0.00,0.00,9.07,15.06,15.63
,16.97,16.00,19.73,20.00,12.86,6.87,15.40,10.75,7.13
,19.78,20.00,17.67,17.50,10.32,11.67,16.16,20.00,19.33
,14.96,16.75,13.67,10.00,10.45,0.00,10.97,13.94,6.56
,18.70,20.00,18.50,20.00,20.00,17.33,19.09,18.25,14.55
,19.13,8.75,3.67,8.33,12.86,5.80,9.76,17.01,8.49
,11.00,20.00,0.00,3.00,5.16,14.93,9.02,10.06,9.35
,14.87,12.75,12.33,10.00,14.03,16.53,13.42,12.31,11.08
,18.26,17.25,19.00,12.50,8.32,17.33,15.44,17.56,15.49
,20.00,11.00,10.50,6.25,0.00,0.00,7.96,11.16,8.63
,4.96,20.00,15.50,10.00,12.90,4.53,11.32,15.75,7.46
,18.00,20.00,20.00,20.00,19.35,18.53,19.31,19.05,17.60
,14.52,7.50,7.67,4.25,16.23,0.00,8.36,10.00,2.05
,16.39,17.00,12.33,11.50,8.39,11.00,12.77,14.09,11.78
,18.91,16.00,20.00,20.00,19.35,20.00,19.04,19.95,19.37
,15.17,5.50,13.33,8.50,12.39,0.00,9.15,8.69,6.27
,17.54,17.50,19.17,20.00,15.42,0.00,14.94,18.84,9.65
,,,,,,,,,
,18.00,17.00,13.33,6.25,11.58,12.00,13.03,12.69,6.40
