Login,PW 2,PW 3,PW 4,PW 5,PW 6,PW 7,Average,Midterm,Final,Defense 1,Defense 2
,18.43,16.25,18.00,18.50,13.81,16.00,16.83,17.76,19.07,13.00,15.00
,0.00,12.60,7.67,11.90,0.00,0.00,5.36,0.03,,8.00,
,17.78,17.25,14.73,6.00,4.42,4.67,10.81,11.22,14.00,16.00,8.50
,9.30,12.30,9.33,8.50,13.95,0.00,8.90,8.41,8.72,14.00,11.00
,2.61,14.25,14.93,10.50,5.16,4.00,8.58,16.04,10.34,16.00,8.50
,12.35,2.00,0.00,4.00,0.00,0.00,3.06,8.09,7.09,13.00,15.00
,19.13,20.00,13.67,12.00,12.19,2.33,13.22,17.17,18.16,15.50,14.50
,19.57,8.00,9.33,6.00,2.58,0.00,7.58,15.75,12.60,13.50,14.50
,20.00,20.00,18.33,20.00,17.42,16.33,18.68,18.94,17.21,13.50,14.50
,19.57,20.00,6.00,10.20,13.16,11.67,13.43,17.65,15.75,14.00,11.00
,18.13,18.50,0.00,6.00,7.71,1.33,8.61,10.68,14.99,15.50,14.50
,13.04,15.60,0.00,11.00,10.39,0.00,8.34,7.09,12.72,13.00,15.00
,15.04,0.00,7.33,4.00,10.39,16.00,8.79,14.11,15.78,16.00,8.50
,19.57,3.60,19.80,20.00,16.45,15.67,15.85,7.08,4.53,14.00,17.00
,18.48,18.00,8.07,12.00,13.61,8.00,13.03,14.94,16.22,11.00,16.00
,20.00,19.50,20.00,19.50,18.71,17.67,19.23,12.62,5.05,14.00,17.00
,0.00,9.00,5.00,17.00,13.52,7.00,8.59,8.94,10.01,15.50,14.50
,17.83,19.80,13.00,10.00,9.14,0.00,11.63,8.07,3.14,13.00,12.00
,19.78,19.60,17.67,18.75,12.19,13.33,16.89,8.14,13.00,13.00,15.00
,0.00,18.25,0.00,1.25,0.00,0.00,3.25,10.03,4.00,11.00,16.00
,18.26,20.00,20.00,20.00,20.00,18.67,19.49,18.00,19.00,13.00,12.00
,19.57,20.00,19.00,20.00,16.97,15.67,18.53,17.20,18.22,13.00,15.00
,0.00,0.00,0.00,10.40,7.60,0.00,3.00,,2.03,8.00,11.50
,19.39,19.25,18.73,20.00,19.16,11.33,17.98,17.94,17.62,16.50,17.00
,19.50,20.00,19.17,20.00,18.71,19.00,19.40,18.92,19.00,15.50,14.50
,9.78,17.00,0.00,8.00,8.00,5.00,7.96,8.56,9.13,8.00,11.50
,17.33,18.00,9.33,15.00,15.48,0.00,12.52,16.73,9.51,15.50,14.50
,19.57,19.60,13.33,15.30,16.19,6.00,15.00,19.93,15.13,13.00,12.00
,11.67,8.00,0.00,9.00,8.65,0.00,6.22,10.08,10.06,16.00,8.50
,13.04,16.00,9.33,6.10,9.94,3.33,9.62,10.00,13.79,13.50,14.50
,13.04,0.00,0.00,9.20,10.19,0.00,5.41,8.66,6.00,14.00,11.00
,11.89,13.50,11.33,7.00,1.29,0.00,7.50,8.92,11.31,13.00,15.00
,20.00,18.50,20.00,20.00,19.35,10.67,18.09,19.09,16.93,16.50,17.00
,17.83,20.00,18.33,19.90,15.74,17.00,18.13,15.42,11.25,13.00,15.00
,17.98,18.00,0.00,20.00,12.84,0.00,11.47,10.10,15.19,11.00,16.00
,19.57,19.90,0.00,1.10,0.00,5.33,7.65,8.11,6.12,13.50,14.50
,19.13,15.00,15.20,15.50,10.13,1.33,12.72,8.05,13.12,13.00,12.00
,12.17,15.35,0.00,8.30,13.15,18.00,11.16,2.05,3.09,14.00,11.00
,19.50,20.00,20.00,15.00,17.42,16.33,18.04,19.81,,16.50,
,19.78,20.00,19.00,20.00,14.32,1.33,15.74,16.37,13.88,8.00,11.50
,19.57,19.40,16.80,11.30,11.87,13.33,15.38,7.51,4.12,14.00,17.00
,12.33,20.00,16.17,10.00,12.26,18.67,14.90,12.99,,16.50,17.00
,19.50,19.00,19.00,20.00,15.48,4.00,16.16,16.56,10.40,15.50,14.50
,17.11,16.00,8.33,10.00,1.06,11.00,10.58,13.20,13.02,15.50,14.50
,9.07,13.00,1.33,10.00,0.00,0.00,5.57,12.96,,15.50,
,19.57,19.80,20.00,14.80,13.74,16.67,17.43,14.33,7.80,14.00,17.00
