Login,PW 2,PW 3,PW 4,PW 5,PW 6,PW 7,PW 8,Average,Midterm,Final
,18.91,20.00,20.00,20.00,20.00,16.94,,19.31,19.98,
,16.52,12.50,14.17,18.00,9.57,12.26,,13.84,11.00,
,15.39,3.25,9.33,20.00,13.91,5.81,,11.28,11.80,
,17.83,17.00,14.50,10.50,14.78,15.32,,14.99,13.65,
,15.65,19.25,12.67,20.00,13.91,16.45,,16.32,16.14,
,16.74,5.25,0.00,19.50,19.00,20.00,,13.41,17.75,
,20.00,6.50,16.50,7.00,11.74,14.84,,12.76,8.39,
,20.00,20.00,13.00,14.00,0.74,15.48,,13.87,10.05,
,17.61,18.50,12.17,20.00,18.26,20.00,,17.76,,
,0.00,13.00,3.83,10.00,0.87,0.00,,4.62,10.41,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,16.09,20.00,8.17,20.00,7.83,9.84,,13.65,9.25,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,20.00,17.30,18.67,20.00,13.48,15.16,,17.43,12.21,
,13.04,18.00,17.33,19.00,19.50,16.44,,17.22,15.14,
,12.61,15.25,12.00,19.00,13.26,5.81,,12.99,10.00,
,19.78,20.00,20.00,20.00,20.00,19.68,,19.91,19.52,
,18.70,20.00,15.50,20.00,13.91,20.00,,18.02,16.00,
,2.13,14.50,16.83,18.00,18.52,19.03,,14.84,17.51,
,17.17,17.50,20.00,20.00,4.35,12.90,,15.32,15.74,
,18.26,18.25,15.00,16.25,14.78,15.65,,16.36,18.18,
,17.61,18.75,13.33,15.00,5.87,13.71,,14.05,18.57,
,17.39,16.00,10.83,20.00,4.35,0.00,,11.43,10.81,
,12.39,16.00,15.00,7.00,11.17,19.00,,13.43,16.23,
,16.96,16.00,11.33,10.50,20.00,6.94,,13.62,15.34,
,18.48,17.75,16.67,20.00,13.41,20.00,,17.72,9.00,
,18.26,18.50,17.33,19.00,18.26,8.06,,16.57,14.30,
,0.30,3.00,4.00,5.00,0.00,5.16,,2.91,5.00,
,17.83,20.00,19.67,20.00,20.00,11.94,,18.24,17.99,
,19.35,20.00,12.17,20.00,8.04,12.42,,15.33,7.01,
,19.57,16.50,20.00,20.00,20.00,17.10,,18.86,18.24,
,14.74,13.50,11.00,7.50,9.57,15.48,,11.96,6.00,
,7.57,0.00,7.17,0.75,7.83,0.00,,3.88,13.22,
,18.26,18.50,13.00,20.00,20.00,16.13,,17.65,12.54,
,16.74,20.00,19.00,20.00,12.17,9.35,,16.21,13.50,
,20.00,19.00,17.17,20.00,16.52,12.90,,17.60,19.75,
,19.57,19.00,19.33,20.00,20.00,17.10,,19.17,11.60,
,18.26,20.00,19.17,19.80,13.91,6.45,,16.27,19.76,
,16.30,16.75,0.00,20.00,12.17,0.00,,10.87,13.13,
,15.52,17.25,11.17,20.00,0.00,5.81,,11.62,18.99,
,19.57,17.00,14.50,17.00,1.74,18.71,,14.75,13.75,
,19.57,20.00,20.00,20.00,18.63,17.58,,19.30,17.47,
,15.22,14.50,11.50,17.00,18.26,8.71,,14.20,5.63,
,17.83,16.75,17.33,20.00,20.00,16.94,,18.14,16.98,
,15.00,11.00,5.50,10.00,0.37,0.00,,6.98,7.12,
,12.39,13.00,11.33,17.50,17.83,10.81,,13.81,19.94,
,20.00,15.00,20.00,20.00,20.00,19.35,,19.06,20.00,
,19.13,20.00,15.67,19.50,18.02,17.26,,18.26,18.85,
,18.70,20.00,15.00,17.00,11.17,17.39,,16.54,19.95,
,13.04,18.50,14.67,19.50,20.00,14.68,,16.73,18.75,
,18.26,18.50,12.00,20.00,5.22,7.42,,13.57,10.98,
